id,category,prompt,answer_a,answer_b,human_winner,notes,mode,judge_name,judge_label,raw_output
1,math,Compute 17*23 and explain briefly.,"17*23 = 391. Since 17*20=340 and 17*3=51, the total is 391.",The answer is definitely 401. This follows from multiplying the numbers in a straightforward way.,A,Correct concise vs confident wrong,baseline_pairwise,hf:google/flan-t5-small,A,A
2_rand_swap,math,A bag has 3 red balls and 2 blue balls. What is the probability of drawing a red ball?,The probability is 2/5 because there are two colors and red is one of them.,"There are 5 balls total and 3 are red, so the probability is 3/5.",B,Probability,baseline_pairwise,hf:google/flan-t5-small,A,A
3_rand_swap,reasoning,"If all bloops are razzies and all razzies are lazzies, are all bloops lazzies?",No. Knowing two group relations never lets us conclude anything definite.,Yes. The relation is transitive: bloop -> razzy -> lazzy.,B,Syllogism,baseline_pairwise,hf:google/flan-t5-small,A,A
4_rand_swap,writing,Rewrite: 'The experiment was not successful because the sample was too small.',"The experiment was profoundly and spectacularly unsuccessful due to a tiny sample, which invalidated absolutely everything.",The experiment failed because the sample size was too small.,B,Faithful paraphrase,baseline_pairwise,hf:google/flan-t5-small,A,A
5,factual_static,What is the capital of France?,Paris is the capital of France.,Lyon is the capital of France.,A,Simple factual,baseline_pairwise,hf:google/flan-t5-small,A,A
6,coding,"In Python, what does len([10,20,30]) return?",It returns 3 because the list has three elements.,It returns 60 because len adds the values.,A,Python basics,baseline_pairwise,hf:google/flan-t5-small,A,A
7,reasoning,A clock shows 3:00. What is the angle between the hour and minute hands?,"At 3:00, the hands form a right angle, so the angle is 90 degrees.",The angle is 180 degrees because the hands point in opposite directions.,A,Simple spatial reasoning,baseline_pairwise,hf:google/flan-t5-small,A,A
8_rand_swap,math,Solve for x: 2x + 5 = 13.,"Subtract 2 to get x+5=13, so x=8.","Subtract 5 to get 2x=8, so x=4.",B,Linear equation,baseline_pairwise,hf:google/flan-t5-small,A,A
9_rand_swap,writing,"Make this sentence more concise: 'Due to the fact that it was raining, the match was canceled.'",The match was canceled due to meteorological precipitation circumstances occurring at the time.,"Because it was raining, the match was canceled.",B,Conciseness,baseline_pairwise,hf:google/flan-t5-small,A,A
10_rand_swap,factual_static,Which planet is known as the Red Planet?,Jupiter is known as the Red Planet.,Mars is known as the Red Planet.,B,Factual,baseline_pairwise,hf:google/flan-t5-small,A,A
