id,category,answer_kind,score,raw_output,judge_name
1,math,human_preferred,3.0,3,hf:google/flan-t5-small
1,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
2_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
2_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
3_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
3_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
4_rand_swap,writing,human_preferred,1.0,1,hf:google/flan-t5-small
4_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
5,factual_static,human_preferred,3.0,3,hf:google/flan-t5-small
5,factual_static,human_nonpreferred,1.0,1,hf:google/flan-t5-small
6,coding,human_preferred,3.0,3,hf:google/flan-t5-small
6,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
7,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
7,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
8_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
8_rand_swap,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
9_rand_swap,writing,human_preferred,3.0,3,hf:google/flan-t5-small
9_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
10_rand_swap,factual_static,human_preferred,3.0,3,hf:google/flan-t5-small
10_rand_swap,factual_static,human_nonpreferred,1.0,1,hf:google/flan-t5-small
11_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
11_rand_swap,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
12,math,human_preferred,3.0,3,hf:google/flan-t5-small
12,math,human_nonpreferred,5.0,5,hf:google/flan-t5-small
13_rand_swap,coding,human_preferred,1.0,1,hf:google/flan-t5-small
13_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
14_rand_swap,writing,human_preferred,3.0,3,hf:google/flan-t5-small
14_rand_swap,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
15,reasoning,human_preferred,4.0,4,hf:google/flan-t5-small
15,reasoning,human_nonpreferred,4.0,4,hf:google/flan-t5-small
16,math,human_preferred,1.0,1,hf:google/flan-t5-small
16,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
17_rand_swap,factual_static,human_preferred,4.0,4,hf:google/flan-t5-small
17_rand_swap,factual_static,human_nonpreferred,1.0,1,hf:google/flan-t5-small
18,coding,human_preferred,1.0,1,hf:google/flan-t5-small
18,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
19,writing,human_preferred,4.0,4,hf:google/flan-t5-small
19,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
20_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
20_rand_swap,reasoning,human_nonpreferred,4.0,4,hf:google/flan-t5-small
21,math,human_preferred,1.0,1,hf:google/flan-t5-small
21,math,human_nonpreferred,2.0,2,hf:google/flan-t5-small
22,coding,human_preferred,3.0,3,hf:google/flan-t5-small
22,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
23_rand_swap,writing,human_preferred,4.0,4,hf:google/flan-t5-small
23_rand_swap,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
24_rand_swap,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
24_rand_swap,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
25,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
25,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
26_rand_swap,math,human_preferred,3.0,3,hf:google/flan-t5-small
26_rand_swap,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
27_rand_swap,writing,human_preferred,5.0,5,hf:google/flan-t5-small
27_rand_swap,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
28_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
28_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
29,coding,human_preferred,3.0,3,hf:google/flan-t5-small
29,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
30,writing,human_preferred,4.0,4,hf:google/flan-t5-small
30,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
31,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
31,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
32,math,human_preferred,3.0,3,hf:google/flan-t5-small
32,math,human_nonpreferred,3.0,3,hf:google/flan-t5-small
33,writing,human_preferred,4.0,4,hf:google/flan-t5-small
33,writing,human_nonpreferred,4.0,4,hf:google/flan-t5-small
34,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
34,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
35_rand_swap,coding,human_preferred,1.0,1,hf:google/flan-t5-small
35_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
36,math,human_preferred,1.0,1,hf:google/flan-t5-small
36,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
37,writing,human_preferred,4.0,4,hf:google/flan-t5-small
37,writing,human_nonpreferred,3.0,3,hf:google/flan-t5-small
38,reasoning,human_preferred,3.0,3,hf:google/flan-t5-small
38,reasoning,human_nonpreferred,3.0,3,hf:google/flan-t5-small
39,coding,human_preferred,3.0,3,hf:google/flan-t5-small
39,coding,human_nonpreferred,3.0,3,hf:google/flan-t5-small
40,math,human_preferred,1.0,1,hf:google/flan-t5-small
40,math,human_nonpreferred,1.0,1,hf:google/flan-t5-small
41,writing,human_preferred,1.0,1,hf:google/flan-t5-small
41,writing,human_nonpreferred,1.0,1,hf:google/flan-t5-small
42_rand_swap,reasoning,human_preferred,1.0,1,hf:google/flan-t5-small
42_rand_swap,reasoning,human_nonpreferred,1.0,1,hf:google/flan-t5-small
43_rand_swap,coding,human_preferred,1.0,1,hf:google/flan-t5-small
43_rand_swap,coding,human_nonpreferred,1.0,1,hf:google/flan-t5-small
44_rand_swap,math,human_preferred,1.0,1,hf:google/flan-t5-small
44_rand_swap,math,human_nonpreferred,2.0,2,hf:google/flan-t5-small
45_rand_swap,writing,human_preferred,4.0,4,hf:google/flan-t5-small
